Edad,Sexo,Carrera,Escala,Costo,Antigüedad,Marca,Tipo,RAM,Tiempo de uso,Factor importante,Publicidad,Sistema operativo,Satisfacción
21,Femenino,Ingeniería,D,4200,3,Asus,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",1 T,8:00:00 a.m.,"Precio, Oferta, Marca, Rendimiento",Neutral,Windows,Neutral
18,Masculino,Ingeniería,A,4500,4,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,1:40:00 a.m.,Rendimiento,Nada influenciado,Windows,Súper satisfecho
21,Masculino,Ingeniería,B,3000,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,6:00:00 a.m.,"Oferta, Recomendación",Neutral,Windows,Algo satisfecho
20,Femenino,Ingeniería,E,2500,2,Asus,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",64 GB,10:33:00 a.m.,"Precio, Marca, Recomendación, Portabilidad",Neutral,Windows,Muy insatisfecho
21,Femenino,Ingeniería,D,3500,4,HP,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,7:00:00 a.m.,"Precio, Oferta, Marca, Recomendación, Rendimiento, Portabilidad, Estética",Muy influenciado,Windows,Súper satisfecho
21,Femenino,Ingeniería,E,6000,3,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,8:30:00 p.m.,Recomendación,Neutral,Windows,Poco satisfecho
20,Masculino,Computación,C,4600,2,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",24,8:30:00 a.m.,Rendimiento,Nada influenciado,Windows,Súper satisfecho
20,Masculino,Ingeniería,E,3199.9,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,6:00:00 a.m.,"Precio, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
20,Femenino,Ingeniería,E,2500,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,2:00:00 a.m.,"Precio, Rendimiento",Neutral,Windows,Neutral
19,Femenino,Ingeniería,D,3300,2,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,7:30:00,"Recomendación, Rendimiento, Portabilidad",Nada influenciado,Windows,Algo satisfecho
20,Masculino,Computación,E,1800,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,12:00:00,"Precio, Rendimiento",Poco influenciado,Windows,Neutral
18,Masculino,Ingeniería,E,3000,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,5:30:00,"Precio, Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
20,Femenino,Ingeniería,E,3999.9,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",64 GB,16:30:00,"Precio, Recomendación",Neutral,Windows,Algo satisfecho
17,Femenino,Ciencias Económicas y Empresariales,D,1600,4,Lenovo,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,2:00:00,Recomendación,Poco influenciado,Windows,Algo satisfecho
21,Masculino,Ingeniería,E,2500,2,Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:30:00,"Precio, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
19,Femenino,Ingeniería,E,3200.9,3,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,10:30:50,"Precio, Oferta, Marca, Rendimiento, Portabilidad, Estética",Nada influenciado,Windows,Súper satisfecho
21,Masculino,Ingeniería,E,3299.9,4,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,5:30:00,"Precio, Portabilidad",Neutral,Windows,Neutral
18,Femenino,Computación,B,2200,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,6:35:15,Recomendación,Poco influenciado,Windows,Súper satisfecho
19,Masculino,Computación,D,3000,2,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,3:00:00,Rendimiento,Nada influenciado,Windows,Súper satisfecho
21,Masculino,Ingeniería,D,5500,3,Dell,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,12:00:00,"Marca, Rendimiento, Estética",Neutral,Windows,Súper satisfecho
24,Masculino,Ingeniería,E,2400,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,4:00:00,"Precio, Oferta, Marca, Rendimiento",Neutral,Windows,Algo satisfecho
22,Masculino,Computación,A,4200,1,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,7:20:00,"Marca, Rendimiento, Estética",Neutral,Windows,Súper satisfecho
22,Femenino,Ingeniería,C,4780,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,12:25:36,"Oferta, Marca, Rendimiento, Portabilidad, Estética",Neutral,Windows,Neutral
22,Femenino,Ingeniería,E,5000,5,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,3:00:00,Rendimiento,Nada influenciado,Windows,Algo satisfecho
21,Femenino,Ciencias Económicas y Empresariales,E,2500.3,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,5:25:20,Recomendación,Algo Influenciado,Windows,Súper satisfecho
20,Masculino,Ingeniería,C,3200,2,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:00:00,"Precio, Recomendación, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ingeniería,E,2600,1,Dell,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,4:30:00,Rendimiento,Neutral,Windows,Algo satisfecho
20,Femenino,Ingeniería,B,2500,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",1 T,5:00:00,Portabilidad,Neutral,Windows,Súper satisfecho
21,Masculino,Ingeniería,C,5200,2,MSI,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,5:00:00,Recomendación,Neutral,Windows,Súper satisfecho
21,Femenino,Agronomía y Ciencias Veterinarias,C,2200,2,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,5:30:00,Precio,Neutral,Windows,Neutral
18,Masculino,Ingeniería,E,2000,3,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,24:00:00,"Precio, Marca, Rendimiento",Neutral,Windows,Neutral
18,Masculino,Ingeniería,C,3690.9,1,MSI,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,2:00:00,"Precio, Marca, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
30,Femenino,Ingeniería,E,2899.9,0 (Menos de 1 año),Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",1 T,23:59:59,Estética,Nada influenciado,Windows,Súper satisfecho
25,Masculino,Ingeniería,B,4000,0 (Menos de 1 año),Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,12:00:00,"Precio, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ingeniería,C,1300,6,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,1:00:00,"Precio, Recomendación, Rendimiento, Portabilidad",Algo Influenciado,Windows,Neutral
20,Masculino,Ingeniería,C,2800,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,3:00:00,Rendimiento,Nada influenciado,Windows,Súper satisfecho
23,Masculino,Ingeniería,C,4000,4,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,10:00:00,"Recomendación, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
19,Masculino,Ingeniería,E,4300,0 (Menos de 1 año),MSI,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,6:14:00,"Marca, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
20,Femenino,Ciencias Económicas y Empresariales,C,4000,4,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,5:00:00,"Precio, Marca, Recomendación, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
23,Femenino,Ciencias Sociales,C,3200,4,Asus,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",8 GB,3:00:00,"Precio, Rendimiento",Nada influenciado,Windows,Algo satisfecho
22,Masculino,Ingeniería,D,2100,0 (Menos de 1 año),Acer,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,8:30:00,"Precio, Rendimiento, Portabilidad, Velocidad, memoria",Poco influenciado,Windows,Algo satisfecho
23,Femenino,Ciencias Económicas y Empresariales,D,1200,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:30:04,"Precio, Oferta, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
23,Masculino,Ciencias Económicas y Empresariales,D,2600,2,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,1:00:00,"Precio, Rendimiento",Neutral,Windows,Súper satisfecho
25,Masculino,Ingeniería,D,4500,4,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,5:00:00,"Precio, Oferta, Marca, Rendimiento",Neutral,Windows,Algo satisfecho
26,Masculino,Ingeniería,C,5400,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,8:00:00,"Precio, Oferta, Marca",Neutral,Windows,Algo satisfecho
21,Masculino,Derecho y Ciencias Jurídicas,C,2500,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,5:00:00,Marca,Poco influenciado,Windows,Neutral
21,Masculino,Computación,E,2500,2,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,5:00:00,"Marca, Recomendación, Rendimiento",Neutral,Windows,Neutral
18,Masculino,Computación,B,5400,1,Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",18 GB,6:00:00,"Marca, Recomendación, Rendimiento, Portabilidad",Algo Influenciado,MacOS,Súper satisfecho
19,Femenino,Ciencias Naturales o Biológicas,E,1799.99,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,5:46:21,Precio,Neutral,Windows,Neutral
19,Masculino,Ciencias Naturales o Biológicas,D,2200,3,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,2:30:00,"Precio, Recomendación, Rendimiento",Nada influenciado,Windows,Súper satisfecho
19,Femenino,Derecho y Ciencias Jurídicas,B,2599,1,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,2:10:15,Rendimiento,Algo Influenciado,Windows,Algo satisfecho
18,Femenino,Ciencias Naturales o Biológicas,B,3100,1,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,5:00:00,Oferta,Muy influenciado,Windows,Algo satisfecho
18,Masculino,Ingeniería,D,5490,3,Lenovo,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,1:00:00,Rendimiento,Nada influenciado,Linux,Súper satisfecho
18,Femenino,Ingeniería,B,4599,1,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,12:00:00,"Marca, Recomendación, Rendimiento, Estética",Neutral,Windows,Algo satisfecho
18,Femenino,Humanidades o Letras,D,2300,0 (Menos de 1 año),Asus,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,10:00:00,"Oferta, Recomendación",Poco influenciado,Windows,Neutral
19,Masculino,Ingeniería,D,2.799,1,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:30:00,Rendimiento,Neutral,Windows,Algo satisfecho
19,Femenino,Ciencias Naturales o Biológicas,E,2160.9,0 (Menos de 1 año),Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,0:30:00,"Precio, Oferta",Nada influenciado,Windows,Neutral
29,Femenino,Ciencias Naturales o Biológicas,E,2500,5,HP,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",64 GB,2:53:00,Marca,Muy influenciado,Windows,Súper satisfecho
19,Masculino,Ciencias Naturales o Biológicas,B,1000,4,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,8:00:00,Precio,Nada influenciado,Windows,Neutral
20,Masculino,Ingeniería,D,1599.9,9,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,7:00:00,"Precio, Marca, Rendimiento",Neutral,Windows,Súper satisfecho
20,Femenino,Ingeniería,D,3500,1,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,5:00:00,"Precio, Rendimiento, Portabilidad, Estética",Algo Influenciado,Windows,Neutral
18,Masculino,Computación,B,3000.9,4,Lenovo,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,8:00:00,"Marca, Rendimiento, Estética",Algo Influenciado,Windows,Súper satisfecho
19,Femenino,Educación,C,2000,1,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,3:00:00,Precio,Neutral,Windows,Súper satisfecho
20,Femenino,Ingeniería,D,4800,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,8:00:00,"Recomendación, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
22,Masculino,Computación,E,3000,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,6:00:00,Recomendación,Neutral,Windows,Súper satisfecho
19 años,Femenino,Ciencias Económicas y Empresariales,A,3500,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,4:00:00,"Precio, Marca, Rendimiento",Poco influenciado,Windows,Súper satisfecho
18,Femenino,Computación,B,2240,3,Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",8 GB,5:10:05,"Precio, Marca, Recomendación, Estética",Muy influenciado,MacOS,Algo satisfecho
17,Femenino,Ingeniería,B,3800,0 (Menos de 1 año),Lenovo,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,4:00:00,"Portabilidad, Estética",Algo Influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias Económicas y Empresariales,E,3000,3,Apple,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",1 T,20:30:00,Precio,Neutral,MacOS,Neutral
19,Masculino,Ingeniería,B,3499,2,Lenovo,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,8:30:00,"Precio, Marca, Rendimiento",Nada influenciado,Windows,Súper satisfecho
18,Masculino,Ingeniería,B,2000,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,5:00:00,"Precio, Rendimiento",Neutral,Windows,Súper satisfecho
17,Femenino,Ciencias Sociales,E,1000,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,3:00:00,"Oferta, Marca, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Computación,D,3999,0 (Menos de 1 año),Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,7:00:00,"Precio, Rendimiento",Neutral,Windows,Súper satisfecho
18,Masculino,Ingeniería,C,5499,0 (Menos de 1 año),Asus,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",8 GB,2:00:00,Rendimiento,Neutral,Windows,Algo satisfecho
16,Femenino,Ciencias de la Salud,C,1499,2,Lenovo,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",32 GB,2:00:00,"Precio, Estética",Neutral,Windows,Algo satisfecho
18,Femenino,Ingeniería,D,4600,0 (Menos de 1 año),Dell,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",64 GB,8:30:15,Fue otorgada.,Algo Influenciado,Windows,Algo satisfecho
18,Femenino,Ingeniería,C,6397.1,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,5:15:00,"Marca, Recomendación, Rendimiento, Portabilidad, Estética",Nada influenciado,Linux,Súper satisfecho
18,Femenino,Humanidades o Letras,C,2700,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,1:30:00,Recomendación,Neutral,Windows,Súper satisfecho
17,Femenino,Ingeniería,B,5000,1,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:50:00,"Precio, Marca, Recomendación, Rendimiento, Portabilidad, Estética",Neutral,Windows,Súper satisfecho
23,Femenino,Ingeniería,E,2100,5,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,10:00:00,"Marca, Rendimiento, Portabilidad",Poco influenciado,Windows,Algo satisfecho
18,Femenino,Ingeniería,C,3599.9,0 (Menos de 1 año),Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,8:30:00,"Oferta, Marca, Rendimiento, Portabilidad",Poco influenciado,Windows,Algo satisfecho
19,Masculino,Computación,E,3799.99,0 (Menos de 1 año),Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,10:40:00,"Precio, Oferta, Recomendación, Rendimiento, Portabilidad",Muy influenciado,Windows,Súper satisfecho
19,Masculino,Computación,D,3000,1,Asus,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,9:00:00,"Precio, Recomendación, Portabilidad",Neutral,Linux,Poco satisfecho
21,Femenino,Ingeniería,D,2700.5,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,18:30:00,"Marca, Rendimiento, Portabilidad, Estética",Algo Influenciado,Windows,Algo satisfecho
18,Masculino,Computación,C,3000,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,12:00:00,"Precio, Rendimiento, Estética",Muy influenciado,Windows,Súper satisfecho
17,Femenino,Ciencias de la Salud,D,2500,2,HP,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",64 GB,8:40:00,"Precio, Rendimiento, Portabilidad, Estética",Neutral,Windows,Algo satisfecho
17,Femenino,Derecho y Ciencias Jurídicas,B,3500,3,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,12:23:45,"Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
17,Masculino,Ingeniería,B,2450,1,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,10:00:00,"Precio, Marca, Recomendación, Rendimiento, Portabilidad",Poco influenciado,Windows,Súper satisfecho
18,Masculino,Computación,C,2800,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:00:00,"Precio, Oferta, Rendimiento",Nada influenciado,Windows,Algo satisfecho
20,Masculino,Ciencias de la Salud,E,3099,0 (Menos de 1 año),Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,4:00:00,"Oferta, Marca, Rendimiento",Nada influenciado,Windows,Súper satisfecho
17,Masculino,Computación,C,2399,5,Asus,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",8 GB,5:00:00,"Precio, Rendimiento",Neutral,Windows,Súper satisfecho
19,Femenino,Computación,D,500,2,HP,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",8 GB,8:30:00,"Precio, Marca, Rendimiento, Portabilidad",Neutral,Windows,Algo satisfecho
20,Femenino,Ciencias de la Salud,B,2729.9,1,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,6:24:15,"Precio, Oferta, Recomendación, Rendimiento",Nada influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias Económicas y Empresariales,A,5100,4,HP,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",1 T,6:00:00,tamaño,Nada influenciado,Windows,Algo satisfecho
18,Femenino,Ciencias Económicas y Empresariales,C,2199,4,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,9:00:00,"Marca, Recomendación",Neutral,Windows,Algo satisfecho
18,Femenino,Computación,B,2500,2,Apple,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",8 GB,8:38:00,"Recomendación, Portabilidad",Nada influenciado,MacOS,Neutral
19,Masculino,Ingeniería,E,4000,0 (Menos de 1 año),Apple,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",8 GB,6:00:00,"Recomendación, ",Nada influenciado,MacOS,Neutral
18,Femenino,Ingeniería,D,5600,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",1 T,5:23:22,Rendimiento,Poco influenciado,Windows,Neutral
18,Masculino,Computación,E,3500,2,Lenovo,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",64 GB,12:30:00,"Marca, Recomendación, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
21,Masculino,Ingeniería,B,1500,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,4:30:00,Precio,Neutral,Windows,Algo satisfecho
18,Femenino,Ciencias Económicas y Empresariales,B,4000,3,Acer,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",1 T,5:00:00,"Marca, Rendimiento",Neutral,Windows,Algo satisfecho
19,Masculino,Ingeniería,C,3799.9,0 (Menos de 1 año),Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,7:41:50,Rendimiento,Poco influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias Naturales o Biológicas,C,2900,3,Dell,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,12:00:00,"Marca, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
17,Femenino,Ciencias de la Salud,E,2400,0 (Menos de 1 año),Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:00:00,"Oferta, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
19,Masculino,Ciencias de la Salud,C,4500,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,18:30:00,"Precio, Oferta, Marca, Rendimiento, Portabilidad, Estética",Muy influenciado,Windows,Súper satisfecho
23,Masculino,Ingeniería,D,5019,4,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,11:50:00,"Marca, Recomendación, Rendimiento, Estética",Muy influenciado,Windows,Súper satisfecho
20,Masculino,Artes,D,2500,5,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,14:00:00,"Marca, Recomendación",Neutral,Windows,Neutral
17,Masculino,Ingeniería,B,4320.5,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:25:19,Rendimiento,Nada influenciado,Windows,Súper satisfecho
